MUNICIPIO,BARRIO
BUCARAMANGA (CT),LA CONCORDIA
BUCARAMANGA (CT),SAN LUIS
FLORIDABLANCA,VILLABEL
FLORIDABLANCA,ZAPAMANGA III
PIEDECUESTA,ARGENTINA ANTIGUA
COROZAL,SAN JUAN
SAN ONOFRE,CALLE LA BALSA
SINCELEJO (CT),CENTRO
SINCELEJO (CT),FLORENCIA
ESPINAL,BALCANES
ESPINAL,VILLA DEL PRADO
IBAGUE (CT),ALFONSO LOPEZ
IBAGUE (CT),CENTRO
IBAGUE (CT),CENTRO
IBAGUE (CT),ESTACION
IBAGUE (CT),ESTACION
IBAGUE (CT),BOQUERON
IBAGUE (CT),LAS BRISAS
IBAGUE (CT),PALERMO
IBAGUE (CT),PROTECHO (TOPACIO)
IBAGUE (CT),CENTRO
IBAGUE (CT),JORDAN VIII ETAPA
IBAGUE (CT),GALAN
IBAGUE (CT),INTERLAKEN
ROVIRA,CENTRO
CALI (CT),SAN PEDRO E3
CALI (CT),COMPARTIR E21
CALI (CT),SAN PEDRO E3
CALI (CT),CUARTO LEGUA - GUADALUPE E19
CALI (CT),SANTA ROSA E3
CALI (CT),EL GRAN LIMONAR - CATAYA E17
CALI (CT),SAN LUIS E6
CALI (CT),PRIMERO DE MAYO E17
CALI (CT),UNID. A GALINDO PLAZA TOROS E19
CALI (CT),CALIMA E4
CALI (CT),EL TREBOL E8
CALI (CT),METROPOLITANO DEL NORTE E5
CALI (CT),EL POBLADO I E13
CALI (CT),UNION DE VIVIENDA POPULAR E16
CALI (CT),PAMPA LINDA E19
CALI (CT),PAMPA LINDA E19
EL CERRITO,VIA EL CERRITO/PLACER
PALMIRA,COLOMBIA
SEVILLA,LA CONCORDIA
YUMBO,PANORAMA E25
BELLO,NIQUIA QUITASOL
CAUCASIA,PUEBLO NUEVO
CAUCASIA,PUEBLO NUEVO
CAUCASIA,SAN MIGUEL
COPACABANA,OBRERO
ITAGUI,ESMERALDA
LA CEJA,LA ALDEA
LA CEJA,CENTR0
MEDELLIN (CT),LA MOTA C-16
MEDELLIN (CT),GIRARDOT C-5
MEDELLIN (CT),SAN ANTONIO C-8
MEDELLIN (CT),TENCHE C-15
MEDELLIN (CT),VILLA HERMOSA C-8
MEDELLIN (CT),MIRAFLORES  C-9
MEDELLIN (CT),BELEN C-16
MEDELLIN (CT),BELEN C-16
MEDELLIN (CT),EL DANUBIO C-12
MEDELLIN (CT),EL POBLADO C-14
MEDELLIN (CT),BELEN C-16
MEDELLIN (CT),SAN PEDRO  C-4
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),GUAYAQUIL C-10
MEDELLIN (CT),ROBLEDO C-7
MEDELLIN (CT),SANTA FE C-15
MEDELLIN (CT),LOS ANGELES C-10
SABANETA,ENTREAMIGOS
BARRANQUILLA (CT),EL BOSQUE
BARRANQUILLA (CT),LA ALBORAYA
BARRANQUILLA (CT),OLAYA
BARRANQUILLA (CT),CENTRO
BARRANQUILLA (CT),POR FIN
BARRANQUILLA (CT),BOSTON
SANTO TOMAS,EL CENTRO
SOLEDAD,SOLEDAD 2000
SOLEDAD,VILLA ESTADIO I
CARTAGENA (CT),BOSTON
TUNJA (CT),BARRIO MESOPOTAMIA
TUNJA (CT),BARRIO ALCALA REAL
TUTA,PARQUE PRINCIPAL
CHINCHINA,SECTOR EL LAGO
MANIZALES (CT),LOS ALCAZARES
FLORENCIA (CT),LAS MALVINAS
FLORENCIA (CT),EL CENTRO
AGUAZUL,RIO CHIQUITO
YOPAL (CT),VILLA FLOR
TIMBIO,CENTRO
TIMBIO,CENTRO
TIMBIO,CENTRO
TIMBIO,CENTRO
TIMBIO,CENTRO
BOSCONIA,LOS ALMENDROS
VALLEDUPAR (CT),FUNDADORES
VALLEDUPAR (CT),LAS FLORES
VALLEDUPAR (CT),MERCADO
VALLEDUPAR (CT),BELLA VISTA
VALLEDUPAR (CT),BELLA VISTA
VALLEDUPAR (CT),EL AMPARO
VALLEDUPAR (CT),EL PROGRESO
VALLEDUPAR (CT),GARUPAL II
VALLEDUPAR (CT),GARUPAL II
VALLEDUPAR (CT),1º DE MAYO
MONTERIA (CT),ALAMEDAS DEL SINU
MONTERIA (CT),RIO DE JANEIRO
MONTERIA (CT),ALAMEDAS DEL SINU
MONTERIA (CT),P-5
BOGOTA D.C. (CT),CIUDAD KENNEDY CENTRAL E-8
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),LAS FERIAS E-10
BOGOTA D.C. (CT),CANTALEJO E-11
BOGOTA D.C. (CT),PARCELACION SAN JOSE E-11
BOGOTA D.C. (CT),BOSQUE DE PINOS II E-1
BOGOTA D.C. (CT),EL POA E-11
BOGOTA D.C. (CT),SAN FRANCISCO E-19
BOGOTA D.C. (CT),URB. MARSELLA E-8
BOGOTA D.C. (CT),ROMA  E-8
BOGOTA D.C. (CT),EL CENTENARIO E-18
BOGOTA D.C. (CT),LUCERO MEDIO E-19
BOGOTA D.C. (CT),EL PORVENIR E-10
BOGOTA D.C. (CT),BELLO HORIZONTE E-4
BOGOTA D.C. (CT),PALOQUEMAO E-14
BOGOTA D.C. (CT),CLARET E-18
BOGOTA D.C. (CT),LOS CEDRITOS E-1
BOGOTA D.C. (CT),URB. MIRANDELA E-11
BOGOTA D.C. (CT),GUSTAVO RESTREPO E-18
BOGOTA D.C. (CT),VILLA LUZ E-10
BOGOTA D.C. (CT),COLOMBIA E-12
BOGOTA D.C. (CT),URB. BABILONIA E-1
BOGOTA D.C. (CT),QUINTA PAREDES E-13
BOGOTA D.C. (CT),RESURRECCION E-18
RIOHACHA (CT),SAN MARTIN DE LOBA
RIOHACHA (CT),URB. LA MANO DE DIOS
NEIVA (CT),CALIXTO LEYVA
PALESTINA,LA FLORESTA
PITALITO,SUCRE
SANTA MARTA (CT),JARDIN
SANTA MARTA (CT),ALCAZARES
SANTA MARTA (CT),JARDIN
SANTA MARTA (CT),REPOSO
SANTA MARTA (CT),COREA
SANTA MARTA (CT),SANTA CRUZ
SANTA MARTA (CT),SANTA CRUZ
SANTA MARTA (CT),URBANIZACION CONCEPCION NO. 1-2-3-4-5
SANTA MARTA (CT),CENTRO HISTORICO
VILLAVICENCIO (CT),7 DE AGOSTO
VILLAVICENCIO (CT),DOS MIL
VILLAVICENCIO (CT),LAS CAMELIAS
VILLAVICENCIO (CT),SANTANDER
VILLAVICENCIO (CT),FLORENCIA
IPIALES,JOSE ANTONIO GALAN
IPIALES,CENTENARIO
LA UNION,VDA SAUCE
LA UNION,VDA SAUCE
PASTO (CT),BELEN
PASTO (CT),VILLAFLOR II
PASTO (CT),MADRIGAL
PASTO (CT),CAICEDO
PASTO (CT),SAN FERNANDO
PASTO (CT),SAN FERNANDO
PASTO (CT),SAN FERNANDO
CUCUTA (CT),BARRIO COLSAG
LOS PATIOS,BARRIO DOCE DE OCTUBRE
ARMENIA (CT),CENTRO
ARMENIA (CT),EL BERLIN
ARMENIA (CT),LA GRECIA
ARMENIA (CT),CENTRO
ARMENIA (CT),CENTRO
CALARCA,VDA.RIO VERDE
PEREIRA (CT),SAN JORGE
PEREIRA (CT),MARAYA
PEREIRA (CT),SECTOR PLAZA DE BOLIVAR
PEREIRA (CT),CENTRO (B) PEREIRA
PEREIRA (CT),HACIENDA CUBA
BARRANCABERMEJA,CINCUENTENARIO
BUCARAMANGA (CT),TRANSICION V
BUCARAMANGA (CT),TRANSICION V
BUCARAMANGA (CT),EL PRADO
BUCARAMANGA (CT),CENTRO
BUCARAMANGA (CT),LA AURORA
FLORIDABLANCA,VDA. LA JUDIA
FLORIDABLANCA,VDA. LA JUDIA
FLORIDABLANCA,VDA. LA JUDIA
PIEDECUESTA,SAN CRISTOBAL P/TA
SINCELEJO (CT),PLAZA MAJAGUAL
ESPINAL,CENTRO
IBAGUE (CT),RICAURTE PARTE ALTA
IBAGUE (CT),JORDAN IX ETAPA
IBAGUE (CT),EL PRADO
IBAGUE (CT),SIMON BOLIVAR
IBAGUE (CT),CLARET
IBAGUE (CT),VARIANTE (ZONA NORTE)
IBAGUE (CT),SANTA BARBARA
IBAGUE (CT),VERSALLES
MELGAR,COLINAS DE MARANTA
CALI (CT),MELENDEZ E18
CALI (CT),OBRERO E9
CALI (CT),SAN ANTONIO E3
CALI (CT),LA HACIENDA E17
CALI (CT),EL GUABAL E10
CALI (CT),JUNIN E9
CALI (CT),BELEN E20
CALI (CT),PASEO DE LOS ALMENDROS E5
CALI (CT),AGUACATAL E1
CALIMA,VDA. EL VERGEL
CALIMA,VIA CALIMA-BUGA
CALIMA,VIA CALIMA-BUGA
GUADALAJARA DE BUGA,SANTA BARBARA
PALMIRA,QUINTAS DE LA ITALIA
MITU (CT),CUERVO ARAOZ
BELLO,ZONA CENTRO
BELLO,PANAMERICANO
BELLO,SAN JOSE OBRERO
BELLO,LA FLORIDA
CALDAS,VDA. LA CLARA
CISNEROS,LA CLAVELLINA
GIRARDOTA,VDA. LA MATA
ITAGUI,SANTA MARIA # 3
LA CEJA,HOYO DE TIERRA
LA UNION,LA MADERA
MEDELLIN (CT),CALAZANS C-12
MEDELLIN (CT),LAS VIOLETAS C-16
MEDELLIN (CT),LIMONAR 1  S.A.P.
MEDELLIN (CT),BUENOS AIRES  C-9
MEDELLIN (CT),PALENQUE 1 C-7
MEDELLIN (CT),BARRIO CAYCEDO C-9
MEDELLIN (CT),CALLE NUEVA C-10
MEDELLIN (CT),CALLE NUEVA C-10
MEDELLIN (CT),CARLOS E. RESTREPO C-11
MEDELLIN (CT),FLORIDA NUEVA C-11
MEDELLIN (CT),LA SALLE  C-3
MEDELLIN (CT),CAMPO AMOR C-15
MEDELLIN (CT),LA AGUACATALA C-14
MEDELLIN (CT),BARRIO COLOMBIA C-14
MEDELLIN (CT),LA CANDELARIA C-10
RIONEGRO,CUATRO ESQUINAS
SAN ROQUE,PROVIDENCIA
SAN ROQUE,PROVIDENCIA
BARRANQUILLA (CT),SAN FELIPE
BARRANQUILLA (CT),EL RECREO
BARRANQUILLA (CT),CARRIZAL
GALAPA,LA CANDELARIA I
SOLEDAD,LOS ALMENDROS
CARTAGENA (CT),CENTRO
CARTAGENA (CT),LOS CARACOLES
CARTAGENA (CT),BOSTON
MANIZALES (CT),PALOGRANDE
FLORENCIA (CT),AVENIDA GAITAN
YOPAL (CT),LOS ALMENDROS
POPAYAN (CT),VARIANTE NORTE LAS PINERAS
POPAYAN (CT),EL PAJONAL
POPAYAN (CT),ALFONSO LOPEZ
POPAYAN (CT),VILLA PAULA
POPAYAN (CT),CENTRO
POPAYAN (CT),SAN JOSE
POPAYAN (CT),SINDICAL II ETAPA
PUERTO TEJADA,LA CEIBA
SANTANDER DE QUILICHAO,MORALES DUQUE
VALLEDUPAR (CT),LA NEVADA
VALLEDUPAR (CT),LA MANUELITA
VALLEDUPAR (CT),SANTA RITA
VALLEDUPAR (CT),KENNEDY
VALLEDUPAR (CT),EL CARMEN
LORICA,LAS DELICIAS
MONTELIBANO,LA CANDELARIA
MONTERIA (CT),COLON
MONTERIA (CT),COLON
MONTERIA (CT),EL TRIUNFO
MONTERIA (CT),GRANADA
PLANETA RICA,EL PRADO
BOGOTA D.C. (CT),ESTADOS UNIDOS   E-8
BOGOTA D.C. (CT),SAN ANTONIO NORTE E-1
BOGOTA D.C. (CT),CENTRO E-3
BOGOTA D.C. (CT),LOS HAYUELOS E-9
BOGOTA D.C. (CT),BILBAO E-11
BOGOTA D.C. (CT),LAS FERIAS E-10
BOGOTA D.C. (CT),GARCES NAVAS E-10
BOGOTA D.C. (CT),PRADO VERANIEGO E-11
BOGOTA D.C. (CT),BOSQUE POPULAR E-10
BOGOTA D.C. (CT),PINARES E-4
BOGOTA D.C. (CT),CAPELLANIA E-9
BOGOTA D.C. (CT),LA CALLEJA E-1
BOGOTA D.C. (CT),OLARTE E-7
BOGOTA D.C. (CT),MARIA PAZ E-8
BOGOTA D.C. (CT),URB. LA COLINA CAMPESTRE I SECTOR E-11
BOGOTA D.C. (CT),BOSA CENTRO E-7
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),PRADO CENTRAL E-11
BOGOTA D.C. (CT),SERAFINA E-4
BOGOTA D.C. (CT),TUNALITO E-6
BOGOTA D.C. (CT),CHAPINERO ALTO E-2
BOGOTA D.C. (CT),GUACAMAYAS I-II E-4
BOGOTA D.C. (CT),ALFONSO LOPEZ E-13
BOGOTA D.C. (CT),CARVAJAL E-8
BOGOTA D.C. (CT),SAN AGUSTIN II SECTOR E-18
BOGOTA D.C. (CT),URB. CATALINA E-8
BOGOTA D.C. (CT),SANTAFE III SECTOR E-7
BOGOTA D.C. (CT),SAN BERNARDO E-3
BOGOTA D.C. (CT),QUIROGA IHS ETAPA E-18
BOGOTA D.C. (CT),GUACAMAYAS I-II E-4
FUNZA,CENTRO
FUNZA,CENTRO
SOACHA,SAN MATEO
SOACHA,LOMA LINDA
ZIPAQUIRA,CENDALES
MAICAO,TRAMO DE VIA CUATROVIAS - MAICAO
CAMPOALEGRE,CENTRO
NEIVA (CT),SAN MARTIN DE PORRES
NEIVA (CT),SANTA INES
NEIVA (CT),SAN CARLOS
PITALITO,CENTRO
SANTA MARTA (CT),IROTAMA
SANTA MARTA (CT),SANTA ANA
SANTA MARTA (CT),SANTA ANA
SANTA MARTA (CT),LUCHA (19 DE ABRIL)
SANTA MARTA (CT),URBANIZACION CONCEPCION NO. 1-2-3-4-5
SANTA MARTA (CT),CISNE
GRANADA,MONTOYA PAVA
VILLAVICENCIO (CT),PORTALES DEL LLANO
VILLAVICENCIO (CT),PORTALES DEL LLANO
VILLAVICENCIO (CT),ANTONIO PINILLA
VILLAVICENCIO (CT),MANANTIAL
VILLAVICENCIO (CT),ANTONIO V/CIO
VILLAVICENCIO (CT),LA SERRANIA
VILLAVICENCIO (CT),BARZAL BAJO
VILLAVICENCIO (CT),FIKUS
VILLAVICENCIO (CT),CENTRO
VILLAVICENCIO (CT),SAN CARLOS
VILLAVICENCIO (CT),VEGA
IPIALES,SAN VICENTE
IPIALES,LA LAGUNA
IPIALES,BENJAMIN HERRERA
PASTO (CT),VILLA CAMPANELA
PASTO (CT),EL ROSARIO
PASTO (CT),CAPUSIGRA
PASTO (CT),SANTA MONICA
PASTO (CT),AGUALONGO
CUCUTA (CT),BARRIO BOSQUES DE PAMPLONITA
CUCUTA (CT),BARRIO SAN MIGUEL
CUCUTA (CT),BARRIO LOMA DE BOLIVAR
OCANHA,BARRIO SANTA CLARA
PAMPLONA,BARRIO EL HUMILLADERO
MOCOA (CT),CENTRO
ARMENIA (CT),CENTRO
ARMENIA (CT),GRANADA
ARMENIA (CT),GRANADA
CALARCA,LLANITOS DE GUARARA
SALENTO,SECTOR CENTRO
PEREIRA (CT),TORRES DE SAN MATEO
BARRANCABERMEJA,PUEBLO NUEVO
BARRANCABERMEJA,ALTO DE LOS ANGELES
BUCARAMANGA (CT),RICAURTE
BUCARAMANGA (CT),LA CONCORDIA
BUCARAMANGA (CT),URB. MANZANARES
BUCARAMANGA (CT),PROVENZA
FLORIDABLANCA,BUCARICA
GIRON,POBLADO
LEBRIJA,EL PESEBRE
PIEDECUESTA,HOYO CHIQUITO
VELEZ,VRDA  EL LIMON
COROZAL,CARTAGENA DE INDIAS
COROZAL,CARTAGENA DE INDIAS
COROZAL,SAN JUAN
SAN ONOFRE,COLINA
SINCELEJO (CT),OLAYA HERRERA
SINCELEJO (CT),PIONEROS
SINCELEJO (CT),VENECIA
SINCELEJO (CT),URB. IPANEMA
SINCELEJO (CT),FLORENCIA
IBAGUE (CT),PRADO I
IBAGUE (CT),CENTRO
IBAGUE (CT),MORAVIA  C-4
IBAGUE (CT),RINCON DE PIEDRAPINTADA
IBAGUE (CT),RICAURTE PARTE ALTA
IBAGUE (CT),ESTACION
IBAGUE (CT),SIMON BOLIVAR
IBAGUE (CT),JORDAN VII ETAPA
IBAGUE (CT),LOS MARTIRES
IBAGUE (CT),LA FLORIDA
LERIDA,CENTRO
MARIQUITA,SANTA LUCIA
BUENAVENTURA,EL CRISTAL
BUENAVENTURA,ZONA FRANCA
BUGALAGRANDE,JOSE ANTONIO GALAN
CALI (CT),CIUDAD CAPRI E17
CALI (CT),SAN FERNANDO VIEJO E19
CALI (CT),MAYAPAN - LAS VEGAS E17
CALI (CT),CIUDADELA FLORALIA E6
CALI (CT),LOS CONQUISTADORES E11
CALI (CT),URB. COLSEGUROS E19
CALI (CT),NUEVA FLORESTA E12
CALI (CT),NUEVA FLORESTA E12
CALI (CT),NUEVA FLORESTA E12
CALI (CT),SAN PEDRO E3
CALI (CT),DIAMANTE E13
CALI (CT),CANHAVERALES - LOS SAMANES E17
CALI (CT),ARBOLEDAS E2
CALI (CT),VALLE GRANDE E21
CALI (CT),SAN NICOLAS E3
CALI (CT),PRIMERO DE MAYO E17
CALI (CT),SAN PASCUAL E3
CALI (CT),LA HACIENDA E17
CALI (CT),VERSALLES E2
CALI (CT),EL VERGEL E13
CALI (CT),PRADOS DEL SUR E18
CALI (CT),MELENDEZ E18
CALI (CT),FLORA INDUSTRIAL E4
CALI (CT),SAN ANTONIO E3
CALI (CT),SAN ANTONIO E3
CALI (CT),LA FLORA E2
CALI (CT),SANTA MONICA RESIDENCIAL E2
CALI (CT),SANTA MONICA RESIDENCIAL E2
CANDELARIA,CENTRAL (23-S-2-1)
FLORIDA,CENTRO
PALMIRA,LOS MANGOS
PALMIRA,PORTALES DEL RECREO
PALMIRA,PORTALES DEL RECREO
PALMIRA,ALAMEDA
PALMIRA,EL PRADO
YUMBO,CGTO MULALO E25
BELLO,EL DUCANO
EL CARMEN DE VIBORAL,VILLA DE LA MODELO
ENVIGADO,VILLAGRANDE
ENVIGADO,EL PORTAL
ENVIGADO,MESA
ITAGUI,SIMON BOLIVAR
MEDELLIN (CT),SANTA MARIA DE LOS ANGELES C-14
MEDELLIN (CT),PRADO C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),BOSTON C-10
MEDELLIN (CT),BARRIO COLOMBIA C-14
MEDELLIN (CT),SANTA FE C-15
MEDELLIN (CT),JUAN XXIII - LA QUIEBRA C-13
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),EL POBLADO C-14
MEDELLIN (CT),GIRARDOT C-5
MEDELLIN (CT),LA COLINA C-15
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),HECTOR ABAD GOMEZ C-5
MEDELLIN (CT),TEJELO C-5
MEDELLIN (CT),CALLE NUEVA C-10
MEDELLIN (CT),SAN JAVIER 1 C-13
RIONEGRO,SECTOR LA POLA
RIONEGRO,BALCONES
BARRANQUILLA (CT),EL PARAISO
BARRANQUILLA (CT),LAS ESTRELLAS
BARRANQUILLA (CT),LOS ANDES
BARRANQUILLA (CT),CHIQUINQUIRA
BARRANQUILLA (CT),LOS NOGALES
MALAMBO,MONTECARLO
MALAMBO,VEREDA EL CARMEN
SOLEDAD,LOS ALMENDROS
SOLEDAD,COSTA HERMOSA
CARTAGENA (CT),POLICARPA
CARTAGENA (CT),EL RECREO
CHIQUINQUIRA,BARRIO POPULAR
SOGAMOSO,LOS ROSALES
TUNJA (CT),BARRIO MALDONADO
TUTA,BARRIO CENTRO
FLORENCIA (CT),CIUDADELA HABITACIONAL SIGLO XXI
FLORENCIA (CT),BRISAS DEL HACHA
POPAYAN (CT),COLOMBIA I ETAPA
POPAYAN (CT),LA ESMERALDA
POPAYAN (CT),MORINDA
POPAYAN (CT),MORINDA
POPAYAN (CT),MORINDA
PUERTO TEJADA,CENTRO
AGUACHICA,OLAYA HERRERA
VALLEDUPAR (CT),LA POPA
VALLEDUPAR (CT),LA POPA
VALLEDUPAR (CT),CASIMIRO MASTRE
VALLEDUPAR (CT),LA GRANJA
VALLEDUPAR (CT),LOS CACIQUES
MONTERIA (CT),URBINA
MONTERIA (CT),6 DE MARZO
BOGOTA D.C. (CT),BANDERAS E-8
BOGOTA D.C. (CT),TURINGA SUBA E-11
BOGOTA D.C. (CT),ENTRERIOS E-12
BOGOTA D.C. (CT),AZUCENA SECTOR EL TRIANGULO E-7
BOGOTA D.C. (CT),URB. PASTRANA E-8
BOGOTA D.C. (CT),BRITALIA E-11
BOGOTA D.C. (CT),URB. CASA LINDA E-19
BOGOTA D.C. (CT),NUEVA GRANADA E-2
BOGOTA D.C. (CT),PATIO BONITO I E-8
BOGOTA D.C. (CT),MURILLO TORO E-18
BOGOTA D.C. (CT),LAS AMERICAS E-8
BOGOTA D.C. (CT),RESTREPO E-15
BOGOTA D.C. (CT),LAS DELICIAS   E-8
BOGOTA D.C. (CT),VEINTE DE JULIO E-4
BOGOTA D.C. (CT),BANDERAS E-8
BOGOTA D.C. (CT),SAN LUIS E-13
BOGOTA D.C. (CT),EL CENTENARIO E-18
BOGOTA D.C. (CT),DIANA TURBAY E-18
BOGOTA D.C. (CT),LLANO GRANDE E-8
BOGOTA D.C. (CT),FLANDES E-9
BOGOTA D.C. (CT),VILLA MAYOR E-15
BOGOTA D.C. (CT),LA SOLEDAD E-13
BOGOTA D.C. (CT),CHAPINERO CENTRAL E-2
BOGOTA D.C. (CT),CIUDAD KENNEDY CENTRAL E-8
BOGOTA D.C. (CT),EL TRIUNFO E-8
BOGOTA D.C. (CT),EL TUNAL II E-6
BOGOTA D.C. (CT),PERDOMO E-19
BOGOTA D.C. (CT),LA PORCIUNCULA E-2
BOGOTA D.C. (CT),MONTEVIDEO E-9
BOGOTA D.C. (CT),LAS CRUCES E-3
BOGOTA D.C. (CT),PRADO VERANIEGO E-11
BOGOTA D.C. (CT),CLASS E-8
BOGOTA D.C. (CT),GORGONZOLA E-16
BOGOTA D.C. (CT),LOMBARDIA II E-11
BOGOTA D.C. (CT),SAN MARTIN E-3
BOGOTA D.C. (CT),GRANADA E-2
BOGOTA D.C. (CT),TUNALITO E-6
COTA,VER.ROZO
SOACHA,CIUDAD VERDE
UBALA,CENTRO
ZIPAQUIRA,ALGARRA
ZIPAQUIRA,CENTRO
RIOHACHA (CT),ABAJO
RIOHACHA (CT),ARRIBA
RIOHACHA (CT),SAN FRANCISCO
VILLANUEVA,VILLA BEATRIZ
VILLANUEVA,OROZUS
CAMPOALEGRE,PANAMA
NEIVA (CT),LA ORQUIDEA
NEIVA (CT),EL PENHON
NEIVA (CT),VILLA URBE
NEIVA (CT),TIMANCO
NEIVA (CT),LAS GRANJAS
TIMANA,LAS FERIAS
SANTA MARTA (CT),ALCAZARES
SANTA MARTA (CT),PARQUE
SANTA MARTA (CT),CENTRO
SANTA MARTA (CT),MANZANARES
SANTA MARTA (CT),COREA
SANTA MARTA (CT),GAIRA TRADICIONAL
SANTA MARTA (CT),EL TERRIRORIAL
SANTA MARTA (CT),OLIVO
ACACIAS,COOPERATIVO
VILLAVICENCIO (CT),COMUNEROS
VILLAVICENCIO (CT),VEREDA VANGUARDIA
VILLAVICENCIO (CT),NUEVO HORIZONTE
VILLAVICENCIO (CT),CENTRO
VILLAVICENCIO (CT),VILLA LORENA
VILLAVICENCIO (CT),ANTONIO PINILLA
VILLAVICENCIO (CT),DOS MIL
VILLAVICENCIO (CT),SANTA FE
VILLAVICENCIO (CT),SANTA FE
IPIALES,SAN FERNANDO
PASTO (CT),ESTADIO LIBERTAD
PASTO (CT),ALAMEDA I
PASTO (CT),CARACHA
PASTO (CT),NIZA I
PASTO (CT),CENTRO
PASTO (CT),FATIMA
PASTO (CT),MIRAFLORES I
PASTO (CT),CENTRO
PASTO (CT),VILLAFLOR II
CUCUTA (CT),URBANIZACION METROPOLIS
CUCUTA (CT),BARRIO SAN MIGUEL
CUCUTA (CT),BARRIO CENTRO
CUCUTA (CT),BARRIO GUAIMARAL
ORITO,EL CENTRO
ARMENIA (CT),PARQUE CONSTITUCION
ARMENIA (CT),ACACIAS
BALBOA,SECTOR PLANES DEL INGENIO
DOSQUEBRADAS,SANTA MONICA
PEREIRA (CT),SAN JORGE
PEREIRA (CT),ALAMOS
PEREIRA (CT),SECTOR CENTRO COMERCIAL LA 14
PEREIRA (CT),SECTOR PUENTES DE LA 9A CON 12
SANTA ROSA DE CABAL,B. COLOMBIA I
SAN ANDRES (CT),BARRIO SARIE BAY
BARRANCABERMEJA,VDA. CAMPO 5
BUCARAMANGA (CT),PROVENZA
BUCARAMANGA (CT),MUTIS
BUCARAMANGA (CT),MUTIS
BUCARAMANGA (CT),BOLIVAR
BUCARAMANGA (CT),RICAURTE
BUCARAMANGA (CT),EL PRADO
BUCARAMANGA (CT),LA AURORA
FLORIDABLANCA,ZAPAMANGA I
PIEDECUESTA,URB. VILLA MARCELA
SINCELEJO (CT),CGTO CHOCHO
SINCELEJO (CT),URB. IPANEMA
HONDA,MAGDALENA
IBAGUE (CT),CADIZ
IBAGUE (CT),MIRAMAR
IBAGUE (CT),TOPACIO
IBAGUE (CT),LAS MARGARITAS
IBAGUE (CT),VARIANTE (ZONA NORTE)
IBAGUE (CT),JORDAN IX ETAPA
IBAGUE (CT),PUEBLO NUEVO
IBAGUE (CT),AMBALA
IBAGUE (CT),CENTRO
CALI (CT),EL RETIRO E15
CALI (CT),CIUDADELA CONFANDI E17
CALI (CT),EL PRADO E11
CALI (CT),SAN VICENTE E2
CALI (CT),SAN FERNANDO VIEJO E19
CALI (CT),OBRERO E9
CALI (CT),REPUBLICA ISRAEL E16
CALI (CT),CIUDADELA CONFANDI E17
CALI (CT),LA LIBERTAD E10
CALI (CT),CIUDADELA CONFANDI E17
CALI (CT),URB. CIUDAD JARDIN E22
CALI (CT),MARROQUIN I E14
CALI (CT),LA BASE E8
CALI (CT),CHAMPAGNAT E19
CALI (CT),LLANO VERDE E15
CALI (CT),PRADOS DEL NORTE E2
CALI (CT),LOS ROBLES E13
CALI (CT),3 DE JULIO E19
CALI (CT),EL LIDO E19
CALI (CT),MORICHAL DE COMFANDI E15
CALI (CT),LOS LIDERES E21
TULUA,DOCE DE OCTUBRE
TULUA,EL PRINCIPE
BELLO,PRADO
BELLO,PANAMERICANO
BELLO,LA CABANHA
COPACABANA,SIMON BOLIVAR
ENVIGADO,EL PORTAL
ENVIGADO,PONTEVEDRA
ENVIGADO,LA MAGNOLIA
ENVIGADO,VILLAGRANDE
ITAGUI,CENTRO
ITAGUI,SANTA MARIA # 1
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),SAN BENITO C-10
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),CARLOS E. RESTREPO C-11
MEDELLIN (CT),BUENOS AIRES  C-9
MEDELLIN (CT),GUAYABAL C-15
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),LA AGUACATALA C-14
MEDELLIN (CT),CRISTO REY C-15
MEDELLIN (CT),FATIMA C-16
MEDELLIN (CT),LA CANDELARIA C-10
MEDELLIN (CT),SEVILLA  C-4
MEDELLIN (CT),LA FRANCIA  C-2
MEDELLIN (CT),LAURELES C-11
MEDELLIN (CT),SAN BENITO C-10
MEDELLIN (CT),SURAMERICANA C-11
MEDELLIN (CT),SAN BENITO C-10
MEDELLIN (CT),ESTACION VILLA C-10
SABANETA,ZONA CENTRO
SABANETA,MANUEL RESTREPO
ARAUCA (CT),7 DE AGOSTO
TAME,20 DE JULIO
BARRANQUILLA (CT),BUENA ESPERANZA
BARRANQUILLA (CT),LA SIERRITA
BARRANQUILLA (CT),CIUDADELA 20 DE JULIO
LURUACO,CENTRO
MALAMBO,EL MANGUITO
MALAMBO,EL CONCORDE
CARTAGENA (CT),BOCAGRANDE
MANIZALES (CT),CENTRO
MANIZALES (CT),BARRIO LAS DELICIAS
MANIZALES (CT),CENTRO
MANIZALES (CT),BARRIO EL CAMPIN
